x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
5,-3,17,2,58,52,46,62,20,-28,-34,10
-1,-13,3,-4,45,33,35,51,19,-12,-17,12
0,-1,18,0,53,50,47,58,25,-19,-25,15
-5,-10,14,-5,54,56,54,62,28,-9,-26,15
-19,-28,-4,-17,49,51,59,61,36,12,-15,17
-16,-19,0,-16,45,50,59,59,42,18,-6,22
-17,-21,0,-17,45,50,58,59,44,18,-5,24
-17,-20,-1,-18,44,49,57,58,42,18,-6,24
-17,-21,-1,-18,45,50,57,59,42,20,-4,25
-17,-21,-2,-19,45,48,57,59,43,21,-7,23
-16,-21,-2,-17,45,49,58,58,44,19,-7,24
-18,-20,-1,-18,46,49,57,58,43,18,-5,24
-17,-21,-1,-18,45,48,57,59,43,21,-2,24
-17,-21,-1,-18,44,50,58,58,42,19,-3,25
-18,-22,-1,-17,45,49,56,59,44,21,-5,24
-17,-21,-1,-18,44,48,56,59,42,21,-2,25
-18,-20,-2,-18,44,49,58,59,42,20,-5,24
-18,-22,-1,-19,45,50,58,59,42,19,-4,24
-17,-21,-1,-18,45,49,58,58,43,21,-4,24
-17,-21,-1,-19,45,49,56,59,42,19,-5,22
-16,-20,-1,-17,44,48,56,58,39,14,-7,21
-17,-20,-1,-17,42,46,56,57,35,13,-11,17
-16,-21,0,-16,42,44,54,56,34,12,-10,16
-13,-18,2,-13,41,44,54,55,31,11,-17,15
-11,-16,3,-12,40,45,53,55,29,7,-15,11
-9,-14,5,-11,42,45,54,55,30,8,-17,13
-9,-13,5,-11,41,45,53,56,29,9,-18,13
5,0,19,4,51,46,44,56,14,-27,-36,0
-2,-8,10,-4,45,46,47,56,21,-10,-27,7
-10,-17,3,-10,44,44,53,55,24,2,-22,9
-8,-13,6,-9,41,45,51,55,28,5,-18,11
-9,-13,7,-10,41,45,53,54,29,6,-17,11
-9,-12,5,-9,40,44,52,54,28,7,-15,14
-9,-13,5,-12,38,44,51,55,29,8,-14,12
-7,-14,6,-9,40,44,53,55,29,5,-18,9
-8,-13,5,-10,39,43,52,53,29,8,-15,13
-9,-12,4,-10,39,43,52,54,31,9,-17,14
-9,-13,6,-9,39,43,52,54,32,9,-16,14
-9,-13,4,-10,38,42,53,53,29,8,-18,12
-9,-12,6,-10,37,42,52,53,26,5,-17,13
-9,-13,6,-10,38,41,51,53,28,7,-16,9
-8,-13,5,-9,37,40,49,52,28,5,-17,9
-8,-12,4,-10,38,41,50,53,28,7,-13,11
-7,-12,5,-9,38,42,51,53,27,8,-13,13
-6,-10,6,-10,37,42,53,53,30,8,-14,12
-7,-11,6,-8,37,42,51,53,29,9,-14,15
-8,-11,7,-9,37,42,51,52,31,11,-14,15
-7,-10,6,-10,39,42,50,54,31,9,-13,14
-6,-10,8,-9,38,42,53,53,31,9,-12,15
-6,-10,8,-8,38,41,51,52,29,8,-14,13
-6,-11,7,-9,40,42,53,54,31,12,-13,15
-11,-14,3,-12,41,47,57,56,41,19,-4,24
-13,-15,2,-14,43,48,58,58,48,27,0,28
1,-21,13,12,77,61,43,72,-14,-71,-95,-36
-76,-183,-104,54,194,63,-73,111,-234,-221,-395,-419
-175,-341,-190,171,337,39,-255,80,-424,-296,-537,-777
-49,-213,-57,137,238,71,-112,104,-271,-317,-456,-386
50,-49,89,117,168,121,3,103,-92,-288,-282,-93
4,11,30,4,62,67,54,63,38,-15,-28,19
-1,-2,18,-1,55,57,50,61,34,-5,-22,15
-8,-15,1,-6,45,32,34,49,18,-9,-17,7
-7,-19,-3,-9,38,25,28,44,13,-7,-10,9
