x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
-4,-13,9,-7,43,46,58,56,28,4,-15,11
-3,-14,9,-7,42,47,59,55,27,5,-16,13
-5,-13,8,-7,41,47,58,55,27,4,-17,12
-4,-13,7,-8,42,48,58,55,28,3,-16,11
-4,-13,9,-7,42,47,58,56,26,2,-15,12
-4,-13,10,-8,42,46,59,55,27,5,-15,13
-6,-13,9,-7,42,46,59,56,28,3,-16,12
-4,-14,8,-7,42,46,59,55,29,4,-15,10
-5,-13,7,-7,44,48,60,55,29,4,-15,11
-3,-15,8,-8,41,46,58,54,28,2,-15,14
-4,-13,9,-8,42,47,59,55,28,4,-17,14
-5,-13,9,-9,43,47,58,55,28,5,-14,12
-3,-13,8,-9,42,46,59,55,28,4,-16,11
-4,-14,8,-9,43,47,58,55,27,3,-15,11
-5,-15,8,-8,42,47,58,54,28,3,-20,11
-5,-16,8,-9,42,48,59,56,27,5,-19,10
-5,-15,8,-8,41,47,58,54,27,1,-16,11
-6,-14,8,-8,41,48,58,55,28,4,-19,12
-6,-17,8,-8,41,48,59,54,24,2,-18,10
-6,-15,8,-7,42,47,58,55,25,2,-17,11
-5,-13,8,-8,42,46,59,55,25,2,-18,11
-6,-14,8,-8,42,46,59,56,27,2,-17,11
-5,-14,8,-7,43,46,58,55,27,2,-17,10
-5,-14,8,-8,41,46,57,56,25,2,-19,9
-5,-14,9,-7,42,47,59,55,26,2,-17,11
-5,-15,8,-7,42,47,59,55,26,3,-18,9
-4,-15,8,-7,42,47,58,55,24,1,-20,8
-6,-14,8,-9,43,47,59,55,25,4,-19,8
-5,-14,7,-10,42,47,59,54,27,2,-20,10
-6,-16,7,-9,42,47,57,56,25,0,-19,9
-6,-15,7,-10,42,47,58,56,25,1,-18,11
-6,-15,7,-8,42,47,58,55,26,2,-17,8
-6,-15,8,-9,42,48,58,56,25,1,-17,13
-7,-16,8,-9,43,47,58,55,25,1,-17,12
-6,-15,8,-9,44,48,57,55,27,1,-18,11
-5,-15,8,-9,42,47,58,56,25,2,-17,11
-5,-15,8,-8,42,47,59,55,27,2,-18,11
-5,-16,7,-9,43,47,58,55,27,2,-18,12
-6,-15,7,-9,42,47,59,56,27,2,-17,11
-7,-15,8,-9,42,47,59,55,28,2,-19,11
-6,-14,7,-8,43,47,60,55,26,2,-19,12
-6,-15,7,-8,42,48,58,54,24,0,-21,8
-6,-16,8,-10,44,47,58,56,27,0,-20,8
-6,-15,7,-8,42,47,59,56,27,-1,-19,10
-5,-15,7,-8,43,47,58,55,25,0,-21,8
-4,-14,7,-7,43,48,57,56,24,3,-19,11
-5,-15,8,-8,42,47,58,55,25,1,-19,10
-5,-15,7,-9,42,47,59,55,28,0,-18,9
-5,-14,8,-8,43,48,58,55,25,0,-17,9
-5,-14,8,-7,42,48,59,55,28,1,-19,9
-5,-13,9,-7,43,47,59,55,25,4,-18,9
-6,-14,9,-9,44,48,60,56,24,1,-19,11
-4,-15,9,-7,43,48,58,56,26,2,-19,9
-6,-12,8,-7,41,47,59,56,27,2,-18,10
-5,-14,9,-8,42,46,58,56,25,2,-16,11
-5,-14,9,-7,43,47,59,56,27,2,-18,12
-5,-12,9,-7,44,47,59,56,27,0,-19,12
-5,-13,8,-7,43,47,59,56,27,2,-19,9
-5,-13,8,-7,43,48,58,56,27,3,-19,9
-5,-15,9,-8,42,48,59,56,27,4,-20,12
-5,-14,7,-9,43,48,57,55,27,4,-17,11
-6,-15,8,-7,42,48,58,55,27,2,-17,9
-6,-15,7,-8,44,48,58,56,25,2,-18,11
-5,-14,9,-8,42,47,59,55,25,4,-17,11
-5,-15,8,-8,43,47,59,55,24,-1,-25,8
0,-16,6,-1,49,43,50,57,8,-23,-35,-2
2,-11,10,0,47,45,51,56,11,-20,-35,2
1,-10,15,1,50,50,54,58,12,-22,-37,1
-1,-14,11,-4,51,51,59,59,16,-16,-36,1
0,-11,13,-1,49,48,57,57,19,-14,-29,7
0,-9,13,-2,47,48,55,56,19,-14,-28,7
-10,-24,2,-9,47,49,59,59,19,-1,-24,7
-6,-18,5,-9,45,49,60,56,25,2,-18,11
-6,-16,7,-8,45,48,60,56,25,0,-19,11
2,-12,13,1,54,51,55,61,7,-28,-49,-5
6,-9,16,3,52,50,54,60,12,-27,-41,0
2,-7,16,0,51,51,57,57,17,-17,-32,3
-6,-19,9,-5,50,53,57,59,14,-12,-38,-2
-5,-16,8,-9,44,47,58,56,26,2,-19,8
-6,-17,8,-7,43,47,58,55,26,0,-21,10
-5,-15,7,-9,44,48,57,56,24,0,-19,9
-4,-13,9,-8,44,47,57,55,24,0,-20,7
-5,-15,9,-8,42,47,57,55,22,-1,-23,5
-6,-16,6,-9,43,48,59,55,25,0,-20,8
-8,-19,5,-12,45,47,59,56,27,1,-18,12
-12,-19,3,-11,45,48,59,56,27,1,-17,9
-9,-18,2,-13,44,49,59,57,26,1,-19,10
-10,-20,4,-12,44,50,59,56,27,1,-18,11
-10,-19,4,-12,45,49,60,58,28,2,-20,12
-11,-18,4,-13,45,51,59,56,27,0,-17,10
-9,-19,3,-11,46,49,59,56,28,1,-17,14
-11,-19,2,-13,45,48,59,56,27,3,-15,12
-11,-21,3,-14,45,50,60,58,27,4,-18,12
-11,-22,3,-13,45,49,60,58,28,1,-18,10
-12,-20,2,-12,46,49,61,58,27,2,-18,11
-11,-20,2,-13,44,49,60,57,28,3,-18,11
-9,-20,4,-13,45,48,59,56,25,3,-19,9
-8,-19,5,-11,44,48,58,56,27,3,-18,9
-10,-18,6,-12,44,48,59,56,25,1,-20,8
-9,-18,5,-11,44,47,57,55,22,0,-22,8
-8,-18,5,-11,44,49,58,55,25,-1,-23,8
-9,-18,5,-11,43,48,57,55,24,0,-23,8
-9,-18,6,-10,44,49,58,55,23,0,-22,9
-9,-18,5,-10,44,48,57,56,22,-2,-23,8
-8,-17,5,-11,44,47,58,56,23,-1,-25,7
-8,-18,5,-11,43,48,58,55,21,-1,-24,7
-8,-18,6,-10,42,48,59,56,22,-1,-22,8
-8,-17,6,-11,42,47,57,54,21,-2,-22,6
-8,-18,4,-10,42,47,56,54,24,-1,-22,8
-9,-18,4,-11,44,46,58,56,22,0,-21,7
-7,-18,5,-11,44,48,58,56,25,1,-19,9
-7,-17,5,-10,44,47,59,56,25,0,-21,11
-6,-17,7,-9,44,48,58,56,27,2,-18,12
-6,-16,8,-9,44,48,60,56,25,2,-18,9
-4,-14,7,-9,43,47,57,54,24,-1,-20,8
-6,-15,8,-9,44,48,59,56,26,0,-22,9
-9,-18,6,-11,46,48,60,56,28,2,-17,12
-8,-17,4,-11,46,51,60,58,31,4,-15,12
-9,-19,5,-12,45,49,60,58,31,4,-18,11
-8,-19,3,-11,45,48,60,57,27,4,-16,12
-9,-20,3,-12,44,50,60,56,28,3,-19,11
-9,-18,5,-12,46,50,59,57,28,5,-15,13
